integration,direction,mechanism,evidence,source_file,target_context,owner_role,owner_status
accounting,inbound-web,servlet-webapp,/accounting,applications/accounting/ofbiz-component.xml,accounting,finance-product-team,provisional-repository-inferred
ar,inbound-web,servlet-webapp,/ar,applications/accounting/ofbiz-component.xml,accounting,finance-product-team,provisional-repository-inferred
ap,inbound-web,servlet-webapp,/ap,applications/accounting/ofbiz-component.xml,accounting,finance-product-team,provisional-repository-inferred
ofbizsetup,inbound-web,servlet-webapp,/ofbizsetup,applications/commonext/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
common-js,inbound-web,servlet-webapp,/common-js,applications/commonext/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
ordermgr-js,inbound-web,servlet-webapp,/ordermgr-js,applications/commonext/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
content,inbound-web,servlet-webapp,/content,applications/content/ofbiz-component.xml,content-media,content-product-team,provisional-repository-inferred
contentimages,inbound-web,servlet-webapp,/contentimages/,applications/content/ofbiz-component.xml,content-media,content-product-team,provisional-repository-inferred
humanres,inbound-web,servlet-webapp,/humanres,applications/humanres/ofbiz-component.xml,workforce,workforce-product-team,provisional-repository-inferred
manufacturing,inbound-web,servlet-webapp,/manufacturing,applications/manufacturing/ofbiz-component.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
marketing,inbound-web,servlet-webapp,/marketing,applications/marketing/ofbiz-component.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
SalesForceAutomation,inbound-web,servlet-webapp,/sfa,applications/marketing/ofbiz-component.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
order,inbound-web,servlet-webapp,/ordermgr,applications/order/ofbiz-component.xml,order-management,order-product-team,provisional-repository-inferred
party,inbound-web,servlet-webapp,/partymgr,applications/party/ofbiz-component.xml,party-customer,customer-product-team,provisional-repository-inferred
catalog,inbound-web,servlet-webapp,/catalog,applications/product/ofbiz-component.xml,product-catalog,catalog-product-team,provisional-repository-inferred
facility,inbound-web,servlet-webapp,/facility,applications/product/ofbiz-component.xml,product-catalog,catalog-product-team,provisional-repository-inferred
workeffort,inbound-web,servlet-webapp,/workeffort,applications/workeffort/ofbiz-component.xml,work-management,work-product-team,provisional-repository-inferred
ical,inbound-web,servlet-webapp,/iCalendar,applications/workeffort/ofbiz-component.xml,work-management,work-product-team,provisional-repository-inferred
@webapp-name@,inbound-web,servlet-webapp,/@webapp-name@,framework/resources/templates/ofbiz-component.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
rest-api,inbound-web,servlet-webapp,/rest,framework/rest-api/ofbiz-component.xml,api-edge,platform-team,provisional-repository-inferred
api-docs,inbound-web,servlet-webapp,/docs,framework/rest-api/ofbiz-component.xml,api-edge,platform-team,provisional-repository-inferred
webtools,inbound-web,servlet-webapp,/webtools,framework/webtools/ofbiz-component.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
bluelight,inbound-web,servlet-webapp,/bluelight,themes/bluelight/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
common-theme,inbound-web,servlet-webapp,/common,themes/common-theme/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
images,inbound-web,servlet-webapp,/images,themes/common-theme/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
flatgrey,inbound-web,servlet-webapp,/flatgrey,themes/flatgrey/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
helveticus,inbound-web,servlet-webapp,/helveticus,themes/helveticus/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
rainbowstone,inbound-web,servlet-webapp,/rainbowstone,themes/rainbowstone/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
tomahawk,inbound-web,servlet-webapp,/tomahawk,themes/tomahawk/ofbiz-component.xml,experience-platform,experience-platform-team,provisional-repository-inferred
ofbFaAuthorize,outbound-or-adapter-review-required,authorize,java:org.apache.ofbiz.accounting.finaccount.FinAccountPaymentServices:finAccountPreAuth,applications/accounting/servicedef/services_finaccount.xml,accounting,finance-product-team,provisional-repository-inferred
ofbGcAuthorize,outbound-or-adapter-review-required,authorize,java:org.apache.ofbiz.accounting.payment.GiftCertificateServices:giftCertificateAuthorize,applications/accounting/servicedef/services_finaccount.xml,accounting,finance-product-team,provisional-repository-inferred
sendInvoicePerEmail,outbound-or-adapter-review-required,email;mail,groovy:component://accounting/src/main/groovy/org/apache/ofbiz/accounting/invoice/InvoiceServicesScript.groovy:sendInvoicePerEmail,applications/accounting/servicedef/services_invoice.xml,accounting,finance-product-team,provisional-repository-inferred
createPayPalPaymentMethod,outbound-or-adapter-review-required,paypal,simple:component://accounting/minilang/payment/PaymentMethodServices.xml:createPayPalPaymentMethod,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
updatePayPalPaymentMethod,outbound-or-adapter-review-required,paypal,entity-auto:update,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
eftProcessInterface,outbound-or-adapter-review-required,ftp,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
payPalProcessInterface,outbound-or-adapter-review-required,paypal,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
payPalCaptureInterface,outbound-or-adapter-review-required,paypal,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
payPalSetExpressCheckoutInterface,outbound-or-adapter-review-required,paypal,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
payPalGetExpressCheckoutInterface,outbound-or-adapter-review-required,paypal,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
payPalDoExpressCheckoutInterface,outbound-or-adapter-review-required,paypal,interface,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
testRandomAuthorize,outbound-or-adapter-review-required,authorize,java:org.apache.ofbiz.accounting.payment.PaymentGatewayServices:testRandomAuthorize,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
testEFTProcessor,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.accounting.payment.PaymentGatewayServices:testProcessor,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
alwaysApproveEFTProcessor,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.accounting.payment.PaymentGatewayServices:alwaysApproveProcessor,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
alwaysDeclineEFTProcessor,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.accounting.payment.PaymentGatewayServices:alwaysDeclineProcessor,applications/accounting/servicedef/services_paymentmethod.xml,accounting,finance-product-team,provisional-repository-inferred
acctgAgreementPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgAgreementPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgBasePermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:basePermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgBillingAcctCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgBillingAcctCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgCommissionPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:commissionPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgCostPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgCostPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgFinAcctPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgFinAcctPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgFxPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgFxPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgInvoicePermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgInvoicePermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgPrefPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:preferencePermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgTransactionPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgTransactionPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
basicGeneralLedgerPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:basePermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
fixedAssetPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:basePermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
acctgPaymentPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://accounting/minilang/permissions/PermissionServices.xml:acctgPaymentPermissionCheck,applications/accounting/servicedef/services_perm.xml,accounting,finance-product-team,provisional-repository-inferred
createEmailContent,outbound-or-adapter-review-required,email;mail,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/content/ContentServicesScript.groovy:createEmailContent,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
updateEmailContent,outbound-or-adapter-review-required,email;mail,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/content/ContentServicesScript.groovy:updateEmailContent,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
contentManagerRolePermission,outbound-or-adapter-review-required,rmi,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/permission/ContentPermissionServices.groovy:contentManagerRolePermission,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
contentManagerPermission,outbound-or-adapter-review-required,rmi,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/permission/ContentPermissionServices.groovy:contentManagerPermission,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
genericContentPermission,outbound-or-adapter-review-required,rmi,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/permission/ContentPermissionServices.groovy:genericContentPermission,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
checkOwnership,outbound-or-adapter-review-required,rmi,groovy:component://content/src/main/groovy/org/apache/ofbiz/content/permission/ContentPermissionServices.groovy:checkOwnership,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
genericDataResourcePermission,outbound-or-adapter-review-required,rmi,simple:component://content/minilang/permission/DataResourcePermissionServices.xml:genericDataResourcePermission,applications/content/servicedef/services.xml,content-media,content-product-team,provisional-repository-inferred
checkContentPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.content.content.ContentPermissionServices:checkContentPermission,applications/content/servicedef/services_content.xml,content-media,content-product-team,provisional-repository-inferred
checkAssocPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.content.content.ContentPermissionServices:checkAssocPermission,applications/content/servicedef/services_content.xml,content-media,content-product-team,provisional-repository-inferred
sendContentToFtp,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.content.ftp.FtpServices:sendContentToFtp,applications/content/servicedef/services_ftp.xml,content-media,content-product-team,provisional-repository-inferred
createTerminationReason,outbound-or-adapter-review-required,rmi,entity-auto:create,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
updateTerminationReason,outbound-or-adapter-review-required,rmi,entity-auto:update,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
deleteTerminationReason,outbound-or-adapter-review-required,rmi,entity-auto:delete,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
humanResManagerPermission,outbound-or-adapter-review-required,rmi,simple:component://humanres/minilang/permission/HumanResPermissionServices.xml:humanResManagerPermission,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
createTerminationType,outbound-or-adapter-review-required,rmi,entity-auto:create,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
updateTerminationType,outbound-or-adapter-review-required,rmi,entity-auto:update,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
deleteTerminationType,outbound-or-adapter-review-required,rmi,entity-auto:delete,applications/humanres/servicedef/services.xml,workforce,workforce-product-team,provisional-repository-inferred
